Memory initialized!
CPU initialized
BEFORE (0x02B6) Opcode: 0xC9 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x02B6) Opcode: 0xC9 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0459) Opcode: 0xCD | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0459) Opcode: 0xCD | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
BEFORE (0x038E) Opcode: 0xE5 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x038E) Opcode: 0xE5 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x038F) Opcode: 0xCD | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x038F) Opcode: 0xCD | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF9 | Z:0 N:0 H:0 C:0
BEFORE (0x037B) Opcode: 0xE1 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF9 | Z:0 N:0 H:0 C:0
AFTER (0x037B) Opcode: 0xE1 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x92 | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x037C) Opcode: 0xE5 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x92 | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x037C) Opcode: 0xE5 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x92 | SP:0xDFF9 | Z:0 N:0 H:0 C:0
BEFORE (0x037D) Opcode: 0xF5 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x92 | SP:0xDFF9 | Z:0 N:0 H:0 C:0
AFTER (0x037D) Opcode: 0xF5 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x92 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x037E) Opcode: 0x23 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x92 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x037E) Opcode: 0x23 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x93 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x037F) Opcode: 0x23 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x93 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x037F) Opcode: 0x23 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x94 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x0380) Opcode: 0x2A | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x94 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x0380) Opcode: 0x2A | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x0381) Opcode: 0xEA | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x0381) Opcode: 0xEA | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x0384) Opcode: 0x7D | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x0384) Opcode: 0x7D | A:0x95 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x0385) Opcode: 0xEA | A:0x95 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x0385) Opcode: 0xEA | A:0x95 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x0388) Opcode: 0x7C | A:0x95 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x0388) Opcode: 0x7C | A:0x03 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x0389) Opcode: 0xEA | A:0x03 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
